class, main_axis, max_defect, min_defect, area_ratio
4, 139.635, 8019, 114, 0.41991413474240424
4, 125.925, 8441, 114, 0.4161697649947387
5, 3.0, 16639, 16639, 444.375
5, 100.449, 9535, 114, 0.3769268056228793
5, 111.364, 11088, 142, 0.3763623978201635
5, 2.0, 19248, 19248, 816.0
5, 109.165, 10503, 142, 0.3786218651083516
5, 4.0, 17291, 17291, 316.8333333333333
5, 89.471, 9435, 181, 0.37836394703118326
5, 3.0, 17350, 17350, 480.5
5, 3.0, 19731, 19731, 438.25
5, 112.929, 11340, 229, 0.37926093514328807
5, 3.162, 17780, 17780, 329.42857142857144
5, 87.864, 8448, 1236, 0.3758641600970285
5, 86.822, 9148, 114, 0.37833392080836564
5, 4.0, 20077, 20077, 359.6666666666667
5, 117.72, 11068, 114, 0.37943031093716023
5, 3.162, 19152, 19152, 362.90909090909093
5, 3.162, 22116, 22116, 352.64285714285717
5, 3.0, 23127, 23127, 426.25
5, 4.123, 15058, 358, 267.75
5, 106.775, 10093, 1355, 0.3794424753328863
5, 4.123, 30065, 30065, 335.2352941176471
5, 115.117, 9124, 1280, 0.3743657207291862
5, 97.35, 10200, 114, 0.3740376181658708
5, 4.0, 22627, 22627, 335.42857142857144
5, 89.944, 8575, 114, 0.3756103515625
5, 4.123, 9984, 9984, 251.1764705882353
5, 95.771, 9189, 142, 0.37566645340157817
5, 3.0, 10240, 10240, 373.875
5, 3.162, 14409, 14409, 314.35714285714283
5, 3.162, 27362, 27362, 367.54545454545456
5, 3.0, 16614, 16614, 506.375
5, 88.391, 8784, 114, 0.37834132967786155
5, 106.677, 10627, 435, 0.3809987604037542
5, 100.17, 10475, 181, 0.3753200204813108
5, 4.123, 19972, 19972, 260.7647058823529
5, 3.0, 12032, 12032, 431.125
5, 3.0, 15568, 15568, 513.75
5, 111.611, 9677, 114, 0.3799376821791135
5, 3.0, 19099, 19099, 447.25
5, 3.162, 15592, 15592, 366.0
5, 3.162, 15464, 15464, 426.54545454545456
5, 5.0, 20879, 20879, 277.8
5, 2.0, 16384, 16384, 740.25
5, 3.0, 16601, 16601, 407.375
5, 90.0, 8651, 1164, 0.3738804163640765
5, 3.0, 23573, 23573, 574.5
5, 111.826, 10987, 114, 0.37622162370142365
5, 3.162, 15985, 15985, 444.8181818181818
5, 3.162, 11547, 11547, 366.1818181818182
5, 108.116, 9165, 114, 0.3778622137786221
5, 3.0, 22792, 22792, 469.75
5, 4.0, 18539, 18539, 403.9166666666667
5, 3.162, 15169, 15169, 347.8181818181818
5, 2.0, 15691, 15691, 770.25
5, 3.0, 13891, 13891, 417.25
5, 2.0, 21172, 21172, 966.0
5, 2.0, 20480, 20480, 766.75
5, 4.123, 25339, 25339, 325.3529411764706
5, 3.162, 9728, 9728, 362.54545454545456
5, 101.71, 9700, 114, 0.3760330578512397
5, 3.162, 14622, 14622, 255.28571428571428
5, 4.0, 14392, 14392, 388.1666666666667
5, 114.56, 11135, 142, 0.3809762741022149
5, 3.162, 21927, 21927, 301.14285714285717
5, 3.0, 11238, 11238, 468.5
5, 5.099, 29180, 29180, 265.4347826086956
5, 3.162, 27252, 27252, 414.90909090909093
5, 3.0, 11213, 11213, 489.125
5, 2.0, 19200, 19200, 720.0
5, 3.0, 19007, 19007, 561.125
5, 3.162, 22676, 22676, 400.0
5, 3.0, 11776, 11776, 546.875
5, 3.162, 10240, 10240, 418.54545454545456
5, 3.162, 19692, 19692, 346.3636363636364
5, 2.0, 22016, 22016, 965.0
5, 3.0, 22260, 22260, 433.25
5, 95.441, 9298, 181, 0.37530784880608203
5, 3.0, 13214, 13214, 431.375
5, 3.162, 18389, 18389, 378.27272727272725
5, 3.0, 12731, 12731, 441.0
5, 4.123, 26472, 26472, 302.11764705882354
5, 3.0, 24915, 24915, 539.0
5, 2.0, 13845, 13845, 722.25
5, 105.323, 11156, 229, 0.3821055114395786
5, 3.162, 19731, 19731, 338.14285714285717
5, 3.0, 13455, 13455, 384.625
5, 3.0, 10479, 10479, 421.5
5, 4.0, 23484, 23484, 389.75
